id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
823854,"Palm Villa - Pool, 3300 sq ft",981582,Jason & Kevin,,Unincorporated Areas,36.09969,-115.2665,Entire home/apt,542,2,14,2021-05-24,0.14,11,347,1,
846722,Las Vegas blvd 2 br condo,103427,Jacqueline M,,Unincorporated Areas,36.03468,-115.17369,Entire home/apt,382,2,1,2015-01-07,0.01,6,179,0,
855576,"Modern Home w/ Private Pool, Spa, Pool Table",3474397,Anthony,,City of Las Vegas,36.16538,-115.26514,Entire home/apt,120,31,26,2021-04-30,9.18,12,278,4,
865470,"Groovy Mid-Century Mod in Vegas, Baby!",4067262,Dana Moran,,Unincorporated Areas,36.12318,-115.11968,Private room,47,2,279,2021-05-31,3.66,1,97,1,
872366,2 Bedroom Luxury Suite Next to South Point Casino,785807,Mike,,Unincorporated Areas,36.009,-115.17572,Entire home/apt,528,2,7,2020-06-08,7,1,19,1,
883590,Las Vegas Exquisite Condo,4677994,Markus,,Unincorporated Areas,36.11194,-115.18856,Entire home/apt,115,30,54,2021-07-14,1.05,4,272,12,
889457,Vdara at City Center - Studio Suite,575684,LasVegasSuites,,Unincorporated Areas,36.11018,-115.17754,Private room,176,2,19,2016-09-18,0.25,13,135,0,
890332,Modern Villa - 10 mins to the Strip,981582,Jason & Kevin,,Unincorporated Areas,36.05673,-115.21089,Entire home/apt,220,2,56,2021-07-19,0.82,11,270,8,
908280,Private Guest House. Pets considered.,4866812,Stephanie,,Unincorporated Areas,36.10632,-115.09046,Entire home/apt,98,1,639,2021-08-22,6.47,1,307,70,
910025,Polo Towers Suites & Villas Resorts,4880351,Mona,,Unincorporated Areas,36.10723,-115.16985,Private room,250,6,6,2020-01-11,0.14,2,365,0,
945060,"Charming 5 bedroom home w/ Spa, Game Room",3474397,Anthony,,Unincorporated Areas,35.9757,-115.16347,Entire home/apt,250,3,122,2021-08-01,3.19,12,302,21,
946044,"Grand Villa - Ping Pong, BBQ Patio",981582,Jason & Kevin,,Unincorporated Areas,36.10345,-115.28801,Entire home/apt,312,28,6,2020-06-17,0.06,11,357,0,
948041,Sweet+Smart HOME near LAS VEGAS STRIP + Golf View,4661797,Ying,,Unincorporated Areas,36.1391,-115.14576,Entire home/apt,60,31,27,2021-08-06,0.26,1,273,3,
971133,"3 bedrooms, self checkin, homeshare, near Red Rock",4169634,Michelle,,City of Las Vegas,36.14061,-115.30446,Private room,100,1,91,2021-05-29,1.27,3,80,1,
