id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1557409,2Br Wyndham Grand Desert Resort c2,2995822,Kathy D,,Unincorporated Areas,36.10761,-115.16165,Entire home/apt,199,2,124,2021-07-06,2.05,22,25,11,
1670907,Nevada-Las Vegas-Boulevard Studio Condo,602654,Rey,,Unincorporated Areas,36.03359,-115.173,Entire home/apt,158,3,1,2016-01-07,0.01,11,80,0,
1671055,Nevada-Las Vegas-Boulevard 1 Bdrm Condo,602654,Rey,,Unincorporated Areas,36.03359,-115.173,Entire home/apt,184,3,4,2018-01-12,0.13,11,67,0,
1671132,Nevada-Las Vegas-Boulevard 2 Bdrm Condo,602654,Rey,,Unincorporated Areas,36.03359,-115.173,Entire home/apt,203,3,13,2021-04-01,0.14,11,74,1,
1708130,Beautiful 3Level 1700sq Townhouse,9012488,David Lewis,,Unincorporated Areas,36.08433,-115.26924,Entire home/apt,180,3,48,2021-06-28,0.68,1,43,2,
1750734,Las Vegas Retreat - 1bd/1ba - New!,8409820,Joanne,,City of Las Vegas,36.18475,-115.25851,Entire home/apt,50,30,13,2021-07-05,0.38,1,128,2,
1755476,MGM Signature Deluxe Suite,575684,LasVegasSuites,,Unincorporated Areas,36.10644,-115.16549,Entire home/apt,141,2,95,2021-05-30,1.09,13,72,3,
1779137,⭐SANITIZED & SAFE♥️TOP RATED 2BD⭐WALK TO STORES!,9341256,Michael,,Unincorporated Areas,36.11466,-115.18719,Entire home/apt,160,1,405,2021-07-06,4.61,5,67,107,
1789923,The Birdbath - Purple Room,7404839,Barbara,,City of Las Vegas,36.16286,-115.2473,Private room,54,5,145,2021-05-31,1.63,2,77,4,
1815600,2Br Lockoff Grand Desert Resort g3,2995822,Kathy D,,Unincorporated Areas,36.10761,-115.16165,Entire home/apt,199,3,104,2021-07-01,1.27,22,32,3,
1817386,"Tranquil Haven, North Vegas w/ Maid Service",9517585,Paul,,City of North Las Vegas,36.2735,-115.12992,Entire home/apt,95,31,5,2021-06-09,0.14,2,165,2,
