id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25246089,Condo Located Within Minutes of 7 Championship Golf Courses,384091113,RedAwning,,City of Mesquite,36.801483,-114.089745,Entire home/apt,105,1,0,,,86,197,0,
25246095,Omar and Sharon Baran,384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,105,1,0,,,86,177,0,
25246098,Fully Furnished Condo With Spectacular Views & Community Pool,384091113,RedAwning,,City of Mesquite,36.822563,-114.061096,Entire home/apt,115,1,4,2020-11-30,0.10,86,217,1,
25246126,Mesquite Condo with Beautiful Furnishings - Great for Small Golf Group,384091113,RedAwning,,City of Mesquite,36.80098,-114.091064,Entire home/apt,164,1,0,,,86,146,0,
25246143,"Thompson,Randy and Terri",384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,164,1,0,,,86,205,0,
25246175,Shade Tree Lane Condo - Perfect Place to Relax After Golfing!,384091113,RedAwning,,City of Mesquite,36.80117,-114.089195,Entire home/apt,115,1,7,2021-06-14,0.19,86,350,2,
25246190,Your Home Away From Home in Mesquite,384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,180,1,0,,,86,278,0,
25246193,"Brand New Home - Beautiful Views, Outdoor Kitchen with BBQ",384091113,RedAwning,,City of Mesquite,36.834789,-114.085457,Entire home/apt,180,1,2,2021-07-01,0.22,86,230,2,
25246196,Farrell Thurston,384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,105,1,1,2021-04-15,0.19,86,250,1,
25246207,Condo Located in the Heart of Mesquite Near Championship Golf,384091113,RedAwning,,City of Mesquite,36.802704,-114.089546,Entire home/apt,164,1,0,,,86,28,0,
25246251,Large Lime Wood Street Home with Private Patio & BBQ,384091113,RedAwning,,City of Mesquite,36.803928,-114.067223,Entire home/apt,187,1,3,2021-04-05,0.28,86,240,3,
25246280,"Condo Near Central Mesquite, Golf Courses & More!",384091113,RedAwning,,City of Mesquite,36.8009,-114.090515,Entire home/apt,105,1,3,2021-09-06,0.38,86,330,3,
25246353,Ron and Dorthy Shackelford,384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,105,1,0,,,86,221,0,
25246363,Bluebell Ranch Inc,384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,115,1,0,,,86,234,0,
25246399,Springs Resort Condo with Mountain & Valley Views,384091113,RedAwning,,City of Mesquite,36.801483,-114.089745,Entire home/apt,164,1,1,2020-02-09,0.05,86,165,0,
25246440,"Kitty Hawk, LLC, 412",384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,164,1,0,,,86,145,0,
25246450,Scott Kroening,384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,164,1,0,,,86,173,0,
25246486,"WESLE, LLC",384091113,RedAwning,,City of Mesquite,36.832512,-114.061226,Entire home/apt,164,1,1,2021-05-16,0.23,86,227,1,
25246520,Pet Friendly Condo with Large Kitchen & Free Wifi,384091113,RedAwning,,City of Mesquite,36.8009,-114.090515,Entire home/apt,164,1,1,2021-03-10,0.15,86,207,1,
25246535,Neil and Laurie Summerhays,384091113,RedAwning,,City of Mesquite,36.83616,-114.08395,Entire home/apt,161,1,0,,,86,363,0,
25246546,"Condo with Year Round Pool, Near Famous Golf Courses",384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,115,1,9,2021-08-13,0.35,86,262,2,
25246549,Mesquite Condo - Fully Furnished with Large Kitchen,384091113,RedAwning,,City of Mesquite,36.801624,-114.091072,Entire home/apt,105,1,0,,,86,180,0,
25246584,Michael Rowe,384091113,RedAwning,,City of Mesquite,36.8027,-114.09036,Entire home/apt,85,1,0,,,86,363,0,
25246596,Marty Malmrose,384091113,RedAwning,,City of Mesquite,36.834526,-114.084946,Entire home/apt,180,1,7,2021-08-19,0.19,86,188,3,
25246640,Bluebell Ranch Inc,384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,180,1,1,2021-03-25,0.16,86,289,1,
25246697,Kelly Hansen,384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,115,1,6,2021-05-02,0.17,86,296,3,
25246727,John and Sheri Hynes,384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,164,1,0,,,86,241,0,
25247052,"Palms Place is PERFECT for You!
-2 bed/bath condo",1331496,Greg,,Unincorporated Areas,36.11413,-115.19651,Entire home/apt,186,3,114,2021-08-24,3.48,1,344,33,
25288385,Wyndham Grand Desert Timeshare - Sleeps 8,9709379,Jennifer,,Unincorporated Areas,36.10641,-115.16219,Private room,429,3,0,,,1,170,0,
25289481,420 Friendly Studio!,191020761,Susan,,Unincorporated Areas,36.09258,-115.14168,Entire home/apt,95,20,51,2021-08-31,1.45,4,124,4,
25296351,Beautiful,191088758,Teresa,,Unincorporated Areas,36.08353,-115.26814,Private room,98,3,1,2018-12-30,0.03,1,83,0,
25296759,***Great Room Great Location Large Private Pool***,89452799,Jason,,Unincorporated Areas,36.13092,-115.21273,Private room,50,14,8,2021-08-18,0.25,5,146,3,
25298025,Best Suite Comes Best Memoires - Mountain Views,12568111,Antoinette,,Unincorporated Areas,36.11474,-115.16358,Entire home/apt,314,1,1,2021-09-05,1,41,365,1,
25325298,Paradise Gated Community,191273282,Brian,,Unincorporated Areas,36.10955,-115.30363,Entire home/apt,150,4,48,2020-03-16,1.28,1,19,0,
25326331,Harmony & Comfort Condo -8 Mins to Strip!,31745620,Jay,,Unincorporated Areas,36.12134,-115.22201,Entire home/apt,71,31,102,2021-08-26,2.79,10,128,37,
25332717,Pvt rm 6 miles from strip w/tv & blackout curtains,190364977,Brandi,,Unincorporated Areas,36.0214,-115.22411,Private room,38,31,45,2021-05-30,1.14,4,225,3,
25340574,1 BR Resort Suite @ Wyndham Grand Desert,3094379,Uchenna,,Unincorporated Areas,36.10814,-115.16207,Entire home/apt,225,3,0,,,11,363,0,
25355788,8 miles from the strip 4 BEDROOM HOUSE  4房2层豪华洋房,134150722,Peipei,,Unincorporated Areas,35.99643,-115.2324,Entire home/apt,264,3,77,2021-09-05,1.92,1,158,17,
25356675,Large beautiful pool/ Awesome location,89452799,Jason,,Unincorporated Areas,36.12971,-115.2115,Private room,50,14,3,2021-05-09,0.08,5,163,1,
25370078,Studio with Kitchenette | Center Strip Area,25102378,Vegas,,Unincorporated Areas,36.11018,-115.17073,Private room,368,2,6,2021-07-01,0.18,46,268,2,
25371777,Jacuzzi Suite | Projection TV | Center Strip Area,25102378,Vegas,,Unincorporated Areas,36.11018,-115.17073,Private room,908,2,23,2021-09-13,0.57,46,363,20,
25373032,3BR Panoramic View | Jacuzzi | Projection Screen,25102378,Vegas,,Unincorporated Areas,36.11018,-115.17073,Private room,1630,2,8,2021-08-24,0.21,46,357,6,
25383716,Vacation fun house,25284186,Jian,,Unincorporated Areas,36.1112,-115.11399,Entire home/apt,140,30,18,2021-04-08,0.49,1,258,2,
25400523,"At the Station Casino, Near The Las Vegas Strip",12568111,Antoinette,,City of Las Vegas,36.14471,-115.17478,Private room,279,1,0,,,41,365,0,
25479028,"1 Bedroom King Suite, Elara by Hilton Las Vegas",145027887,Rushab,,Unincorporated Areas,36.10839,-115.1697,Private room,200,5,0,,,14,348,0,
25487112,Beautiful and modern pool house,50708692,Boriana,,Unincorporated Areas,36.01583,-115.13149,Entire home/apt,129,30,9,2021-07-10,0.47,2,52,5,
25487668,1 Bedroom Suite (HIC) - Near Venitian Full Kitchen,40408537,Joshua,,Unincorporated Areas,36.11702,-115.16278,Private room,207,4,1,2019-01-12,0.03,33,361,0,
25491753,Lake Las Vegas One Bedroom Luna,54069346,Andy,,City of Henderson,36.10528,-114.93229,Entire home/apt,92,1,190,2021-09-02,9.06,8,332,51,Str20-00003
25521626,Tahiti Village Resort,26330641,Marvin,,Unincorporated Areas,36.05821,-115.17112,Entire home/apt,225,4,3,2019-05-20,0.14,1,9,0,
25561408,Luxury suite; 5 min. from LV Strip,90743249,Bracken,,Unincorporated Areas,36.04962,-115.13229,Entire home/apt,110,1,86,2021-09-05,2.35,7,352,26,
